,Output,Time
0,1,2018-05-31 12:00:14
1,0,2018-05-31 12:00:14
2,0,2018-05-31 12:00:14
3,1,2018-05-31 12:00:14
4,0,2018-05-31 12:00:14
5,0,2018-05-31 12:00:14
6,0,2018-05-31 12:00:14
7,0,2018-05-31 12:00:14
8,1,2018-05-31 12:00:14
9,0,2018-05-31 12:00:14
10,0,2018-05-31 12:00:14
11,0,2018-05-31 12:00:14
12,0,2018-05-31 12:00:14
13,0,2018-05-31 12:00:14
14,1,2018-05-31 12:00:14
15,1,2018-05-31 12:00:14
16,0,2018-05-31 12:00:14
17,1,2018-05-31 12:00:14
18,0,2018-05-31 12:00:14
19,1,2018-05-31 12:00:14
20,0,2018-05-31 12:00:14
21,0,2018-05-31 12:00:14
22,0,2018-05-31 12:00:14
23,0,2018-05-31 12:00:14
24,0,2018-05-31 12:00:14
25,0,2018-05-31 12:00:14
26,0,2018-05-31 12:00:14
27,0,2018-05-31 12:00:14
28,0,2018-05-31 12:00:14
29,1,2018-05-31 12:00:14
30,0,2018-05-31 12:00:14
31,1,2018-05-31 12:00:14
32,0,2018-05-31 12:00:14
33,1,2018-05-31 12:00:14
34,0,2018-05-31 12:00:14
35,1,2018-05-31 12:00:14
36,1,2018-05-31 12:00:14
37,1,2018-05-31 12:00:14
38,0,2018-05-31 12:00:14
39,1,2018-05-31 12:00:14
40,0,2018-05-31 12:00:14
41,1,2018-05-31 12:00:14
42,0,2018-05-31 12:00:14
43,1,2018-05-31 12:00:14
44,0,2018-05-31 12:00:14
45,1,2018-05-31 12:00:14
46,1,2018-05-31 12:00:14
47,1,2018-05-31 12:00:14
48,0,2018-05-31 12:00:14
49,0,2018-05-31 12:00:14
50,1,2018-05-31 12:00:14
51,0,2018-05-31 12:00:14
52,0,2018-05-31 12:00:14
53,0,2018-05-31 12:00:14
54,0,2018-05-31 12:00:14
55,0,2018-05-31 12:00:14
56,0,2018-05-31 12:00:14
57,0,2018-05-31 12:00:14
58,0,2018-05-31 12:00:14
59,1,2018-05-31 12:00:14
60,0,2018-05-31 12:00:14
61,1,2018-05-31 12:00:14
62,0,2018-05-31 12:00:14
63,1,2018-05-31 12:00:14
64,0,2018-05-31 12:00:14
65,0,2018-05-31 12:00:14
66,0,2018-05-31 12:00:14
67,0,2018-05-31 12:00:14
68,1,2018-05-31 12:00:14
69,0,2018-05-31 12:00:14
70,1,2018-05-31 12:00:14
71,0,2018-05-31 12:00:14
72,0,2018-05-31 12:00:14
73,1,2018-05-31 12:00:14
74,0,2018-05-31 12:00:14
75,0,2018-05-31 12:00:14
76,0,2018-05-31 12:00:14
77,0,2018-05-31 12:00:14
78,0,2018-05-31 12:00:14
79,1,2018-05-31 12:00:14
80,1,2018-05-31 12:00:14
81,0,2018-05-31 12:00:14
82,0,2018-05-31 12:00:14
83,1,2018-05-31 12:00:14
84,0,2018-05-31 12:00:14
85,1,2018-05-31 12:00:14
86,0,2018-05-31 12:00:14
87,0,2018-05-31 12:00:14
88,1,2018-05-31 12:00:14
89,0,2018-05-31 12:00:14
90,0,2018-05-31 12:00:14
91,0,2018-05-31 12:00:14
92,1,2018-05-31 12:00:14
93,0,2018-05-31 12:00:14
94,0,2018-05-31 12:00:14
95,1,2018-05-31 12:00:14
96,1,2018-05-31 12:00:14
97,0,2018-05-31 12:00:14
98,0,2018-05-31 12:00:14
99,1,2018-05-31 12:00:14
100,0,2018-05-31 12:00:14
101,1,2018-05-31 12:00:14
102,1,2018-05-31 12:00:14
103,1,2018-05-31 12:00:14
104,0,2018-05-31 12:00:14
105,0,2018-05-31 12:00:14
106,1,2018-05-31 12:00:14
107,1,2018-05-31 12:00:14
108,0,2018-05-31 12:00:14
109,0,2018-05-31 12:00:14
110,0,2018-05-31 12:00:14
111,1,2018-05-31 12:00:14
